# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_zrange1_x ()	m_zrange1_y ()	m_zrange1_z ()
0	-0.9990808	-0.001467963	0.0002882627	0	0	0	-0.7854186	-0.0023101782	0.0004536478
0	-0.99905586	-0.0012087973	0.00023148928	0.003995128	0.00013951295	-0.00013959799	-0.78537965	-0.0019023212	0.00036430173
0	-0.9990297	-0.0009408335	0.00017434265	0.007990256	0.0002790259	-0.00027919599	-0.7853384	-0.0014806183	0.00027436836
0	-0.9990024	-0.0006636289	0.00011681951	0.011985384	0.0004185389	-0.0004187939	-0.78529507	-0.001044373	0.00018384244
0	-0.99897313	-0.0003766847	5.8915797e-05	0.015980512	0.0005580518	-0.00055839197	-0.7852495	-0.0005928002	9.2717586e-05
0	-0.99894255	-7.9449565e-05	6.281882e-07	0.01997564	0.00069756474	-0.00069798995	-0.7852011	-0.00012503218	9.885935e-07
0	-0.9989102	0.0002286512	-5.804753e-05	0.023970768	0.0008370778	-0.0008375878	-0.78515005	0.0003598353	-9.135116e-05
0	-0.99887586	0.00054824655	-0.000117114716	0.027965901	0.0009765906	-0.0009771859	-0.78509617	0.0008627923	-0.00018430699
0	-0.9988395	0.0008800224	-0.00017657745	0.031961024	0.0011161036	-0.0011167839	-0.78503907	0.0013849181	-0.0002778853
0	-0.99880105	0.0012247108	-0.00023643942	0.035956148	0.0012556165	-0.001256382	-0.7849784	0.0019273649	-0.0003720919
0	-0.9987602	0.001583112	-0.00029670467	0.03995128	0.0013951295	-0.0013959799	-0.78491414	0.0024913915	-0.00046693318
0	-0.9987169	0.0019561164	-0.00035737685	0.04394641	0.0015346425	-0.0015355778	-0.78484595	0.0030784	-0.0005624148
0	-0.9986707	0.0023446386	-0.00041845997	0.047941536	0.0016741556	-0.0016751756	-0.7847734	0.0036898293	-0.00065854314
0	-0.9986216	0.0027497294	-0.00047995758	0.05193666	0.0018136686	-0.0018147734	-0.784696	0.004327333	-0.0007553239
0	-0.99856925	0.00317248	-0.0005418737	0.055931803	0.001953181	-0.0019543718	-0.7846136	0.004992629	-0.0008527631
0	-0.99851334	0.0036141747	-0.00060421176	0.059926923	0.0020926942	-0.0020939698	-0.7845256	0.005687738	-0.0009508664
0	-0.9984535	0.0040761633	-0.00066697475	0.06392205	0.0022322072	-0.0022335679	-0.7844314	0.0064147823	-0.0010496385
0	-0.9983894	0.0045599197	-0.000730166	0.067917176	0.00237172	-0.0023731657	-0.7843307	0.0071760854	-0.0011490844
