# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	m_zrange1_x ()	m_zrange1_y ()	m_zrange1_z ()
0	-0.9990807	-0.0014679692	0.00028826273	0	0	0	-0.7854186	-0.0023101876	0.00045364784
0	-0.9990453	0.004411571	0.00023544153	0.0027263316	0.0029236323	-0.00013959799	-0.7853627	0.0069426247	0.00037052148
0	-0.99893594	0.010425836	0.00018268972	0.005452663	0.0058472645	-0.00027919599	-0.7851907	0.016407456	0.00028750437
0	-0.99874747	0.016577058	0.0001300421	0.008178995	0.008770898	-0.0004187939	-0.7848942	0.026087822	0.00020465121
0	-0.9984747	0.022867322	7.753303e-05	0.010905326	0.011694529	-0.00055839197	-0.78446484	0.035987	0.00012201611
0	-0.9981118	0.02929846	2.5195963e-05	0.013631658	0.014618165	-0.00069798995	-0.7838938	0.04610788	3.9651663e-05
0	-0.99765307	0.035872184	-2.693825e-05	0.01635799	0.017541796	-0.0008375878	-0.7831719	0.056453146	-4.239354e-05
0	-0.99709266	0.04259002	-7.884282e-05	0.019084321	0.020465432	-0.0009771859	-0.78228974	0.067025214	-0.00012407734
0	-0.99642384	0.049453504	-0.00013049612	0.021810653	0.023389058	-0.0011167839	-0.78123736	0.077826485	-0.0002053657
0	-0.9956405	0.056464195	-0.00018188135	0.024536984	0.026312694	-0.001256382	-0.7800046	0.088859424	-0.0002862322
0	-0.99473584	0.06362375	-0.00023298843	0.027263315	0.02923633	-0.0013959799	-0.77858096	0.10012663	-0.000366661
0	-0.99370265	0.07093404	-0.00028381127	0.029989647	0.032159958	-0.0015355778	-0.77695507	0.11163105	-0.00044664252
0	-0.9925335	0.07839725	-0.00033434833	0.03271598	0.035083592	-0.0016751756	-0.7751151	0.123376146	-0.00052617415
0	-0.99122036	0.086015865	-0.00038459967	0.03544231	0.038007226	-0.0018147734	-0.77304834	0.13536578	-0.0006052562
0	-0.9897544	0.09379273	-0.00043456658	0.038168643	0.040930863	-0.0019543718	-0.7707413	0.14760448	-0.00068389066
0	-0.98812634	0.10173103	-0.00048424918	0.040894974	0.04385449	-0.0020939698	-0.76817936	0.16009721	-0.0007620777
0	-0.9863263	0.109834306	-0.0005336464	0.043621305	0.046778116	-0.0022335679	-0.7653465	0.17284961	-0.0008398156
0	-0.9843432	0.11810619	-0.00058275444	0.046347644	0.049701754	-0.0023731657	-0.7622256	0.18586731	-0.0009170984
0	-0.9821652	0.12655053	-0.0006315665	0.049073968	0.052625388	-0.002512764	-0.7587981	0.19915642	-0.0009939155
0	-0.9797794	0.13517149	-0.00068007107	0.051800307	0.05554902	-0.0026523618	-0.7550434	0.21272348	-0.0010702487
0	-0.97717184	0.14397241	-0.00072825357	0.05452663	0.05847266	-0.0027919598	-0.7509397	0.22657374	-0.0011460747
0	-0.9743272	0.15295702	-0.0007760907	0.05725297	0.061396297	-0.0029315578	-0.7464632	0.24071313	-0.0012213576
0	-0.97122943	0.16212842	-0.000823553	0.059979293	0.064319916	-0.0030711556	-0.74158806	0.25514644	-0.0012960505
0	-0.9678609	0.17148864	-0.0008706072	0.06270563	0.06724355	-0.0032107534	-0.7362869	0.2698769	-0.0013701011
0	-0.9642031	0.18103768	-0.00091722567	0.06543196	0.070167184	-0.0033503512	-0.7305307	0.28490448	-0.0014434658
0	-0.9602375	0.19077313	-0.0009634076	0.06815829	0.07309082	-0.003489949	-0.7242897	0.3002255	-0.0015161439
0	-0.95594543	0.2006886	-0.001009215	0.07088462	0.07601445	-0.0036295468	-0.7175353	0.31582978	-0.0015882323
0	-0.9513102	0.21077354	-0.0010547992	0.073610954	0.078938074	-0.003769146	-0.7102405	0.33170074	-0.0016599694
0	-0.9463159	0.22101457	-0.0011003929	0.076337285	0.08186173	-0.0039087436	-0.7023808	0.3478173	-0.0017317217
0	-0.94094765	0.23139736	-0.0011462608	0.07906362	0.08478535	-0.0040483414	-0.6939328	0.36415708	-0.0018039055
0	-0.93519056	0.24190828	-0.0011926426	0.08178995	0.08770898	-0.0041879397	-0.6848726	0.38069847	-0.001876898
0	-0.9290283	0.25253415	-0.0012397185	0.08451628	0.09063262	-0.0043275375	-0.6751747	0.3974207	-0.0019509827
0	-0.9224435	0.26326066	-0.0012875795	0.08724261	0.09355623	-0.0044671358	-0.6648122	0.41430134	-0.0020263032
0	-0.91541964	0.27406982	-0.001336173	0.08996893	0.096479885	-0.0046067336	-0.6537584	0.431312	-0.0021027762
0	-0.9079444	0.284934	-0.0013852371	0.09269529	0.09940351	-0.0047463314	-0.6419946	0.44840938	-0.0021799898
0	-0.90001917	0.29580986	-0.001434343	0.095421605	0.10232716	-0.00488593	-0.6295224	0.465525	-0.0022572693
0	-0.89165956	0.30664524	-0.0014831537	0.098147936	0.105250776	-0.005025528	-0.6163667	0.48257697	-0.0023340841
0	-0.88288385	0.31739685	-0.0015316388	0.10087425	0.108174436	-0.0051651257	-0.60255605	0.49949715	-0.0024103867
0	-0.87370217	0.32803577	-0.0015799745	0.103600614	0.11109804	-0.0053047235	-0.5881065	0.5162399	-0.0024864543
0	-0.86411965	0.33853906	-0.0016283668	0.10632693	0.11402167	-0.0054443213	-0.5730262	0.5327693	-0.0025626107
0	-0.8541403	0.3488843	-0.0016769877	0.10905326	0.11694532	-0.0055839196	-0.5573214	0.54904985	-0.002639127
0	-0.8437712	0.35904622	-0.0017259786	0.11177958	0.11986894	-0.0057235174	-0.5410032	0.565042	-0.0027162249
0	-0.833024	0.36899635	-0.0017754828	0.11450594	0.122792594	-0.0058631157	-0.5240901	0.58070076	-0.0027941314
0	-0.8219165	0.37870377	-0.0018256686	0.11723226	0.12571621	-0.0060027135	-0.50660974	0.59597766	-0.0028731104
0	-0.81047314	0.38813573	-0.0018767514	0.11995859	0.12863983	-0.0061423113	-0.48860097	0.610821	-0.002953501
0	-0.79872304	0.39726108	-0.0019289511	0.12268495	0.13156347	-0.006281909	-0.47010958	0.6251818	-0.003035649
